"fmisid","region","iso2","name","latitude","longitude"
104328,"Suomi","FI","Äänekoski",62.6077805,25.7232304
103151,"Äänekoski","FI","Äänekoski Hiski",62.6016998,25.7361507
107168,"Äänekoski","FI","Äänekoski Paloasema",62.6022911,25.7398491
104364,"Äänekoski","FI","Äänekoski Rotkola",62.5851212,25.7783108
104069,"Espoo","FI","Espoo Kattilalaakso",60.1662788,24.6543903
104025,"Espoo","FI","Espoo Kauklahti",60.1886482,24.5935402
104028,"Espoo","FI","Espoo Kivenlahti",60.1558418,24.6396599
103995,"Espoo","FI","Espoo Laaksolahti",60.2439194,24.7474709
106949,"Espoo","FI","Espoo Länsiväylä Friisilä",60.1613007,24.7120495
104290,"Espoo","FI","Espoo Leppävaara 1",60.2217903,24.8112202
104335,"Espoo","FI","Espoo Leppävaara 2",60.2206993,24.8151703
104030,"Espoo","FI","Espoo Leppävaara 3",60.2163200,24.8168392
100691,"Espoo","FI","Espoo Leppävaara Läkkisepänkuja",60.2202415,24.8113308
104032,"Espoo","FI","Espoo Lintuvaara",60.2391205,24.8134594
100723,"Espoo","FI","Espoo Luukki",60.3143883,24.6848602
103998,"Espoo","FI","Espoo Mankkaa",60.2032013,24.7609100
104340,"Espoo","FI","Espoo Matinkylä",60.1643295,24.7518196
104020,"Espoo","FI","Espoo Matinkylä 2",60.1588287,24.7434101
104008,"Espoo","FI","Espoo Niittykumpu",60.1690292,24.7641697
104062,"Espoo","FI","Espoo Niittymaa",60.1690216,24.7817097
104047,"Espoo","FI","Espoon keskus",60.2057686,24.6577206
107148,"Espoo","FI","Espoo Otaniemi Kehä I",60.1803398,24.8222408
104037,"Espoo","FI","Espoo Pohjois-Tapiola",60.1860695,24.8086205
107399,"Espoo","FI","Espoo Pohjois-Tapiola 2",60.1828918,24.7934494
104241,"Espoo","FI","Espoo Tapiola",60.1778908,24.7973499
104367,"Espoo","FI","Espoo Tapiola 2",60.1703186,24.8038406
103989,"Espoo","FI","Espoo Tapiola 3",60.1787415,24.8229599
104052,"Espoo","FI","Espoo Tuomarila",60.2035294,24.6987095
104015,"Hämeenlinna","FI","Hämeenlinna Cygnaeuksenkadun puisto",60.9951096,24.4448795
104022,"Hämeenlinna","FI","Hämeenlinna Kaivokatu",60.9960594,24.4559708
103109,"Hämeenlinna","FI","Hämeenlinna Niittykatu",60.9993401,24.4553795
104329,"Hämeenlinna","FI","Hämeenlinna Raatihuoneenkatu",60.9948502,24.4583206
104261,"Hämeenlinna","FI","Hämeenlinna Viipurintie",60.9993286,24.4774399
107030,"Hamina","FI","Hamina Meltti/siirrettävä",60.5739517,27.1912193
104041,"Hamina","FI","Hamina Raatihuoneentori/siirrettävä",60.5694389,27.1967793
104071,"Hamina","FI","Hamina Rautatienkatu/siirrettävä",60.5739212,27.1907692
106415,"Hamina","FI","Hamina Satama ratapiha",60.5411301,27.1621799
104317,"Hanko","FI","Hanko Metsäkaivot",59.8839912,23.2176609
104318,"Hanko","FI","Hanko Syndalen",59.8717003,23.2308407
103142,"Harjavalta","FI","Harjavalta Kaleva",61.3149490,22.1367092
103143,"Harjavalta","FI","Harjavalta Pirkkala",61.3316917,22.1432991
104221,"Harjavalta","FI","Harjavalta Torttilan koulu 2",61.3293114,22.1161308
778660,"Heinola","FI","Keskusta",61.2031288,26.0331898
100614,"Heinola","FI","Pelastuslaitos",61.1950989,26.0202694
105416,"Heinola","FI","Heinola Tiilitehtaankatu",61.2004890,26.0469398
107392,"Heinola","FI","Tommola",61.2000999,26.0492706
107393,"Heinola","FI","Heinola Vierumäki",61.1075592,25.9300709
104061,"Helsinki","FI","Helsinki Eteläranta",60.1647491,24.9533195
105406,"Helsinki","FI","Helsinki Eteläsatama",60.1622086,24.9568596
104031,"Helsinki","FI","Helsinki Hämeentie",60.1817017,24.9552898
104007,"Helsinki","FI","Helsinki Jakomäki",60.2609482,25.0737705
100662,"Helsinki","FI","Helsinki Kallio 2",60.1873894,24.9505997
103997,"Helsinki","FI","Helsinki Kamppi",60.1649399,24.9256706
104010,"Helsinki","FI","Helsinki Katajanokka",60.1652718,24.9692497
104053,"Helsinki","FI","Helsinki Katajanokka 2",60.1652184,24.9738102
104351,"Helsinki","FI","Helsinki Kontula",60.2351799,25.0864601
104079,"Helsinki","FI","Helsinki Länsisatama 3",60.1534805,24.9186306
106948,"Helsinki","FI","Helsinki Länsisatama 4",60.1552086,24.9217796
100762,"Helsinki","FI","Helsinki Mäkelänkatu",60.1964417,24.9519806
104065,"Helsinki","FI","Helsinki Mäkelänkatu 52",60.1967201,24.9511909
104019,"Helsinki","FI","Helsinki Malmi",60.2536087,25.0036297
104068,"Helsinki","FI","Helsinki Malmi 2",60.2418518,25.0254593
100742,"Helsinki","FI","Mannerheimintie",60.1696396,24.9392395
